Date,Close
11/18/99,31.47353363
11/19/99,28.88054276
11/22/99,31.47353363
11/23/99,28.61230278
11/24/99,29.37231827
11/26/99,29.46173096
11/29/99,30.13233185
11/30/99,30.17703819
12/1/99,30.71352005
12/2/99,31.56294632
12/3/99,31.8311882
12/6/99,32.72532272
12/7/99,32.36766815
12/8/99,32.3229599
12/9/99,32.77002716
12/10/99,32.01001358
12/13/99,32.54649353
12/14/99,30.75822639
12/15/99,29.81938553
12/16/99,33.79828262
12/17/99,32.85944366
12/20/99,33.53004456
12/21/99,33.35121536
12/22/99,34.02181625
12/23/99,35.58655167
12/27/99,37.77718353
12/28/99,43.99141693
12/29/99,51.50214767
12/30/99,56.68812561
12/31/99,55.30221558
1/3/00,51.50214767
1/4/00,47.56795502
1/5/00,44.61730957
1/6/00,42.91845322
1/7/00,46.4949913
1/10/00,49.31151581
1/11/00,48.64091492
1/12/00,47.65736771
1/13/00,48.37267685
1/14/00,48.9091568
1/18/00,51.1444931
1/19/00,50.07152939
1/20/00,48.73032761
1/21/00,49.17739487
1/24/00,48.99856949
1/25/00,48.41738129
1/26/00,48.86444855
1/27/00,48.95386124
1/28/00,48.68562317
1/31/00,47.34442139
2/1/00,50.78683853
2/2/00,54.72103119
2/3/00,55.61516571
2/4/00,54.542202
2/7/00,56.86695099
2/8/00,56.50930023
2/9/00,54.18455124
2/10/00,54.85514832
2/11/00,53.91630936
2/14/00,54.67632294
2/15/00,58.56580734
2/16/00,57.9399147
2/17/00,69.38483429
2/18/00,67.06008911
2/22/00,65.45064545
2/23/00,70.81545258
2/24/00,76.35908508
2/25/00,77.34263611
2/28/00,72.24606323
2/29/00,74.30257416
3/1/00,78.05793762
3/2/00,75.31965637
3/3/00,77.2532196
3/6/00,113.733902
3/7/00,101.5736771
3/8/00,108.7267532
3/9/00,109.4420624
3/10/00,101.5736771
3/13/00,93.88411713
3/14/00,86.82045746
3/15/00,81.72389221
3/16/00,84.45100403
3/17/00,86.64163208
3/20/00,81.36623383
3/21/00,82.26036835
3/22/00,85.43454742
3/23/00,85.6133728
3/24/00,85.83690643
3/27/00,81.72389221
3/28/00,85.21101379
3/29/00,80.11444855
3/30/00,75.1072998
3/31/00,74.39199066
4/3/00,70.10014343
4/4/00,66.8812561
4/5/00,69.34012604
4/6/00,75.1072998
4/7/00,87.26752472
4/10/00,76.62732697
4/11/00,72.20136261
4/12/00,61.51645279
4/13/00,64.37768555
4/14/00,59.14699554
4/17/00,56.86695099
4/18/00,62.23175812
4/19/00,62.41058731
4/20/00,64.33297729
4/24/00,65.54005432
4/25/00,64.37768555
4/26/00,65.71888733
4/27/00,64.91416168
4/28/00,63.39413452
5/1/00,68.22245789
5/2/00,72.07841492
5/3/00,65.45064545
5/4/00,64.55651093
5/5/00,65.40593719
5/8/00,60.62231827
5/9/00,57.3587265
5/10/00,55.07868195
5/11/00,54.76573563
5/12/00,64.78004456
5/15/00,63.0811882
5/16/00,63.30472183
5/17/00,55.79399109
5/18/00,50.78683853
5/19/00,47.65736771
5/22/00,44.61730957
5/23/00,41.48783875
5/24/00,42.20314789
5/25/00,49.17739487
5/26/00,46.4949913
5/30/00,53.91630936
5/31/00,52.66452026
6/1/00,52.217453
